tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2459227.018066,2.682814,0.987,1080.0,23.5198,852.855,1505.0,10.2626,1295.5,8528.0,4.33,5.28
candidate,2459547.608503,3.817421,2.47,1000.0,3.32507,529.596,1336.0,10.7212,212.383,6033.7,4.47,1.02
candidate,2459220.286778,16.2709828,1.835,5870.0,6.81631,5.83182,432.0,10.9058,127.734,4811.0,4.45,0.87
candidate,2459221.281298,3.6039259,3.737,940.0,9.20389,1930.96,1846.0,9.536,457.178,7080.0,3.67,3.05
non-candidate,2459226.801169,5.73436,1.146,17740.0,21.0528,19.8561,588.0,10.9766,107.256,4405.0,4.41,0.86
candidate,2459219.625683,4.1554362,6.088,1020.0,11.1924,2704.62,2009.0,10.9402,836.394,6352.0,3.44,3.53
candidate,2458392.294018,13.4758478,2.0643913,708.9461601,1.9840882,10.1837519,455.6136246,8.4991,20.1852,4111.0,4.6461,0.618173
candidate,2459216.749879,5.3376282,2.143,2060.0,16.1323,63.1216,785.0,10.276,380.422,4825.0,4.33,3.5
candidate,2459246.20878,6.0210332,2.211,7500.0,18.8835,635.657,1183.01373235,10.8943,641.596,7668.0,4.33,1.93
candidate,2459991.062533,7.234064,6.0205683,10621.8735536,18.5228447,827.0806334,1367.7499655,11.83,622.34,6770.0,4.11942,1.73783
candidate,2459255.821724,1.3326579,1.5960595,37285.6090775,11.5968325,195.7065144,953.9400228,13.8995,365.008,3947.0,4.65587,0.594491
candidate,2460720.074783,4.9088819,5.5607357,5548.8279627,15.9619759,1882.9021211,1680.067326,12.487,1080.15,6606.0,3.93691,2.09179
candidate,2459978.593736,20.6006151,1.4716288,12106.6702221,8.1782864,3.4585595,347.8112006,10.4767,36.2852,3821.0,4.74216,0.494575
candidate,2459330.683649,1.4509175,1.123,7270.0,20.5418,2374.67,1944.0,11.7785,442.105,6472.0,4.37386,1.24
non-candidate,2459256.970786,2.2338786,3.0400001,318.9211436,3.1159001,3165.1853297,1913.0201108,9.1251,176.841,6422.3,4.10848,1.65992
candidate,2459965.829329,4.724665,4.3082924,6163.2889314,12.5337443,729.5242428,1325.4998462,13.2247,884.523,5385.7,4.4,1.5727
candidate,2459988.5342,1.1645141,1.648221,1828.5119817,6.3506237,3483.4007607,1959.3887499,11.4514,347.307,5979.0,4.29665,1.23369
candidate,2458383.915624,3.3639254,3.3430495,422.0610761,3.0449863,874.7955667,1387.0636575,9.03971,114.495,5890.3,3.92,1.28018
candidate,2458389.727185,13.0393586,4.9218325,625.5995687,3.3482223,243.5260946,1007.5256829,9.03971,114.495,5890.3,3.92,1.31383
non-candidate,2459229.716478,2.1538959,2.1776943,96363.0926604,16.0166732,31.4140709,603.8106997,15.8953,296.761,3148.0,4.75166,0.483749
non-candidate,2458352.484922,0.7320175,2.577,4520.0,5.16324,8999.57,2713.0,13.5294,541.431,5458.0,4.4,0.81
candidate,2459379.018087,13.3572104,4.947,29950.0,19.2978,158.626,988.0,13.2303,636.656,6636.1,4.33,1.12
candidate,2460155.218217,15.2010859,8.2467072,35221.1348039,21.1122163,87.587938,780.2446961,13.1488,683.482,6042.0,4.43,1.0687701
candidate,2459037.589401,4.8103214,3.1996589,16651.539925,10.544,374.9720646,1122.3271735,11.457,315.469,5860.3,4.3,1.23434
candidate,2460156.176169,2.2687617,2.834542,13217.8124266,12.4983488,949.2189656,1415.6677914,13.2052,639.15,5690.0,4.38,1.0785
candidate,2460154.915572,1.8531628,2.019,34220.0,13.5946,672.909,1418.0,13.426,401.511,5355.0,4.46,0.68
candidate,2459387.59425,6.3187442,3.504,28370.0,16.8683,139.993,958.0,13.1982,467.32,4961.0,4.43,0.98
candidate,2459382.783301,8.2500143,3.317,2250.0,11.8684,1610.36,1764.0,12.0635,766.74,7386.5,4.2,1.59
candidate,2459331.034865,12.4724734,3.649,23020.0,12.11,30.1565,652.0,13.2834,377.66,4966.0,4.33,0.79
candidate,2459136.576258,11.1452784,1.3947705,566.2736451,2.0671456,56.9132658,700.5241733,8.1345,43.932,5302.58,4.53515,0.848675
candidate,2459370.156605,10.3558635,3.548,18740.0,17.6401,102.964,887.0,12.9873,662.246,5896.0,4.27,1.26
candidate,2459387.772477,2.4125012,1.209,10860.0,13.7942,369.1,1221.0,13.4394,867.586,6190.0,4.34,1.22
candidate,2459199.804071,1.2207037,2.186,25580.0,17.4662,2232.93,1915.0,13.5093,782.496,5991.0,4.43,1.06
non-candidate,2459085.611785,0.5474737,1.789,1430.0,10.9219,5430.93,2391.0,12.4978,995.741,5073.0,3.5,2.84
candidate,2459384.356179,3.0235362,2.189,26980.0,13.178,203.691,1052.0,13.4354,390.263,5141.0,4.6,0.78
candidate,2459963.148107,2.1481182,3.9313069,22124.5443864,10.544,941.0385382,1412.6078063,13.2317,843.028,5876.0,4.33,1.23434
candidate,2459963.894598,3.4562767,2.3613816,20448.8800177,10.5605032,121.8298519,847.3409174,12.6082,192.435,4404.0,4.52,0.752032
candidate,2459086.276449,1.0649771,1.425,14670.0,12.4794,1643.06,1773.0,13.4702,598.582,5427.0,4.45,0.97
candidate,2459387.884973,0.8715953,1.271,6610.0,10.5535,4579.31,2291.0,13.3024,765.238,5969.0,4.31,1.21
candidate,2460134.412089,11.4856846,4.6321783,11370.1513147,16.3774861,210.1873793,971.1166682,13.1508,859.725,5893.0,4.16,1.42198
candidate,2459116.147851,0.5568095,0.9712066,45140.5350425,9.6870229,235.6927628,999.3239856,15.6198,277.404,3116.0,5.06043,0.439738
candidate,2460070.810197,9.7130596,1.661,3540.0,12.3196,54.3894,1027.4530905,11.786,517.402,6125.1,4.0,1.88
candidate,2459065.405366,6.6314357,2.5431694,10550.9077716,13.188691,232.9433928,996.3968565,12.4487,454.87,5752.2,4.4,1.07899
non-candidate,2459085.547175,0.907105,1.711,1430.0,7.82059,28442.1,3617.0,12.4537,540.632,6164.0,4.4,1.13
candidate,2459229.361575,18.1960491,4.8596477,2203.3245309,8.8304863,1455.4719337,1575.3269703,11.6886,746.036,7811.0,4.25974,1.67013
candidate,2459147.133574,4.088721700000001,4.8897805,2801.2247588,5.8424203,51.2659437,682.459665,10.9648,155.755,5349.16,4.438,0.95524
candidate,2459287.993926,7.4547813,7.1681685,2508.5862836,14.5247965,1902.7550776,1684.4784991,11.2581,792.01,6502.0,3.65751,2.8327301
candidate,2459280.998023,3.1054901,4.8079092,6155.7750978,15.7521647,2621.0201325,1824.8927205,10.9786,502.342,7176.0,4.13,1.90224
candidate,2460014.399459,0.152076,0.5,105147.465567,10.544,12751.7114543,2710.2656995,15.8445,874.657,5780.0,4.438,1.23434
candidate,2459282.149063,3.9299344,1.2628875,2252.0354917,10.544,420.5738761,1154.9502001,11.1671,647.694,5780.0,4.438,1.23434
candidate,2458584.385994,15.3281169,4.1138054,30096.5339932,16.4071897,49.0176948,674.851116,14.3693,858.145,5417.0,4.46174,0.943467
candidate,2459168.12645,2.21674,3.604,4580.0,18.2508,2007.96,1864.0,10.4614,434.754,6250.0,3.98811,2.66
candidate,2459307.40102,0.9112206,2.003082,71047.5639651,7.3931803,40.9351669,645.1250281,15.709,131.444,2999.0,4.95462,0.274907
candidate,2459283.404103,4.880964,1.6120362,3385.5526856,9.7354897,626.1274546,1275.8083387,11.1897,344.045,6309.0,4.32298,1.27132
candidate,2459304.823271,3.0652926,2.606,11240.0,13.3524,649.429,1406.0,12.3077,539.36,6229.0,4.34122,1.22
candidate,2459562.250418,9.1720535,7.169,580.0,9.02881,293.374,1152.0,11.0295,609.818,4933.0,4.438,3.79
candidate,2459300.317115,9.7439744,1.9764395,6711.0590566,9.5314099,93.2116922,792.4782429,10.9206,235.146,5383.0,4.438,0.983025
candidate,2460014.422616,1.4436706,2.134,43370.0,20.6713,964.415,1552.0,12.3956,360.674,5465.0,4.47,0.94
candidate,2460068.864238,0.3125737,0.526,4540.0,8.09753,4234.06,2247.0,13.1875,389.119,5202.0,4.53,0.84
candidate,2460155.040725,0.5136096,0.7873882,3098.8049112,7.4237633,8342.9651284,2437.5293666,13.5231,792.816,5270.0,4.14,1.33222
candidate,2460157.433427,4.773751,1.7107074,11156.3496198,14.861327,520.1148845,758.0,13.3316,815.182,5904.3,4.28,1.2413
candidate,2458377.753706,3.375591,3.489,11630.0,13.2361,1112.75,1609.0,12.4752,626.504,6408.0,4.38,1.22
candidate,2459169.574874,5.9242661,2.8894449,11796.3303624,9.3440442,120.7076171,845.3828218,11.7276,212.472,5310.0,4.59604,0.846671
candidate,2459964.818691,2.229735,2.044445,6708.4441146,12.7809294,1760.6957688,1652.1171129,13.4404,870.557,5913.0,4.2,1.37479
non-candidate,2459349.974976,7.3164282,2.235,37130.0,17.3698,49.3074,738.0,13.3994,396.637,4884.0,4.5,0.83
candidate,2459963.693795,2.484912,1.686,7950.0,10.544,1044.33,1583.0,13.3074,860.552,6240.8,4.33,1.23434
candidate,2460041.745982,0.9270535,1.011,1640.0,10.544,1270.74,1663.0,12.208,488.621,6317.3,4.31,1.23434
candidate,2459168.071986,2.967599,1.688,10410.0,8.00413,75.0167,819.0,13.0725,248.964,4396.0,4.52,0.76
candidate,2459132.354491,4.7277153,2.5,4000.0,6.45464,193.697,1039.0,13.2854,617.763,5601.0,4.39,1.05
candidate,2458392.685508,7.7898378,3.095,11390.0,9.36784,77.3001,826.0,13.5011,488.29,5091.5,4.48,0.85
candidate,2459164.312459,2.7985528,2.459,12220.0,12.3741,406.289,1250.0,13.4765,674.476,5416.0,4.33,1.09
candidate,2460135.330861,8.8759249,3.8366417,25757.0688203,16.5775949,141.6296114,879.8492444,13.4228,666.807,5528.3,4.38,1.02337
candidate,2459140.202044,1.2558789,1.795,22260.0,14.1053,681.251,1423.0,12.7331,328.18,4926.0,4.43,0.91
candidate,2458382.33384,10.7510107,2.943424,638.0928566,2.3581827,90.8412638,787.3911722,9.45661,101.694,5784.0,4.438,0.918917
candidate,2458392.104974,6.19132,3.4164,345.240264,1.759371,219.1278279,981.282679,9.45661,101.694,5784.0,4.438,0.929557
candidate,2459190.295578,5.0183771,3.218,2500.0,10.7644,187.484,1030.0,12.1651,630.124,5011.2,4.49,2.15
candidate,2459168.639577,3.6257584,2.814,10450.0,12.2058,377.929,1228.0,13.0533,635.045,5606.0,4.3,1.17
candidate,2458401.914156,3.790687,2.958,15240.0,12.9604,417.971,1259.0,13.4675,640.511,5542.0,4.41,1.02
candidate,2459140.932852,0.58228,0.691,3170.0,7.80197,1871.39,1832.0,12.7147,730.972,6288.0,4.29,1.32
non-candidate,2460277.924101,3.9602774,0.884,6193.0,24.4489,149.866,974.0,10.1483,156.291,5863.0,4.43,1.04
candidate,2460009.765012,2.8456505,2.556,2681.0,6.4972,758.965,1462.0,10.3716,222.0,6112.0,4.27,1.3
candidate,2459259.141383,4.088721700000001,1.445,22040.0,16.6553,21.4281,599.0,6.9887,32.6024,5212.0,4.3,1.11
non-candidate,2459976.896634,7.7517472,3.761,861.0,11.6856,123.828,929.0,9.6732,454.873,5133.0,4.33,4.75
candidate,2459279.678391,1.1159326,1.013,840.0,6.17322,1667.72,1780.0,10.1782,314.451,6859.0,4.16,1.68
candidate,2459985.604157,6.203496,5.715,810.0,9.93735,375.554,1226.0,9.9917,393.443,4859.0,4.33,3.98
candidate,2458382.20793,5.7525797,5.4071598,5284.9525713,12.7442838,828.8267593,1368.4712903,8.93,158.66,6180.0,4.11766,1.70927
candidate,2459994.198115,12.9281223,3.9850989,4105.1705253,9.974436,154.407415,899.0560909,9.5986,171.703,6332.0,4.33,1.39271
non-candidate,2459991.730295,3.1630387,4.661,1130.0,6.82612,17348.8,3197.0,10.3364,233.793,6187.0,4.26,1.34
candidate,2460698.460263,10.7189647,3.9269424,7404.3059814,22.4497849,1054.2812693,1453.3120426,10.6734,625.01,7830.0,4.07,2.0715599
candidate,2460011.626285,1.9126596,2.178,372.0,2.2474,943.042,1543.0,8.8448,98.3018,5601.4,4.24,1.24
candidate,2459291.690613,7.2972359,0.827,3780.0,13.2402,14.5303,543.0,10.185,370.146,6433.0,3.91,2.1
non-candidate,2459197.208589,1.476869,1.451,2670.0,13.2219,7685.32,2608.0,11.7919,523.999,6712.0,4.28,1.37
candidate,2459168.078836,3.4082154,3.901,10060.0,16.7879,1192.31,1637.0,12.7082,840.941,6231.4,4.11,1.59
candidate,2458429.573362,6.4967452,1.8,4930.0,19.5904,160.453,991.0,10.8489,230.6234,5186.9,4.33,1.53
candidate,2459221.389847,3.4523955,1.624,13260.0,10.2673,139.443,957.0,13.4391,602.385,5614.0,4.49,0.94
candidate,2459169.162947,3.8539027,2.906,14520.0,11.8808,374.407,1225.0,12.4453,403.17,5805.0,4.52,0.93
candidate,2458385.127279,5.066175,6.2992409,1350.0,7.69012,311.3397198,1071.3426196,10.0733,320.497,5868.0,3.57327,2.17
non-candidate,2459199.016708,0.6293198,1.129,3730.0,4.46635,2516.29,1973.0,12.653,344.16,5508.0,4.63,0.79
candidate,2459164.002226,3.1292868,1.545,7430.0,12.0419,400.405,1246.0,12.1692,547.103,6078.0,4.25,1.32
candidate,2459139.377363,2.5981987,1.412,14260.0,11.5397,233.319,1088.0,12.6795,414.029,5516.0,4.49,0.93
candidate,2459197.662315,1.5292851,1.167,2800.0,12.6875,623.678,1392.0,12.4435,573.731,6295.5,4.33,2.21
candidate,2459195.18388,2.4756487,2.461,4370.0,5.25914,321.692,1179.0,13.2964,330.145,4633.0,4.5,0.8
candidate,2459197.748783,3.4711465,1.606,10070.0,11.1759,148.699,972.0,13.322,645.065,5593.0,4.39,1.05
candidate,2459169.865852,3.5746058,1.153,6040.0,11.6965,127.934,936.0,12.9852,861.62,6257.0,4.25,1.37
candidate,2459164.974049,4.0944492,4.233,5890.0,12.8011,711.268,1438.0,12.4052,634.2,5650.0,4.03,1.6
candidate,2459165.769957,2.1415519,2.989,1060.0,4.72287,1363.83,1693.0,11.3437,350.687,5530.0,4.08,1.48
candidate,2459164.871015,3.4180406,2.242,5200.0,6.58171,201.62,1049.0,12.6443,315.805,5001.0,4.46,0.89
candidate,2458381.845549,3.6977167,0.9308263,4755.6707294,2.942044,19.1944226,533.8429511,12.2958,57.0225,3607.0,4.438,0.397924
candidate,2459167.712302,4.1549988,2.873,13830.0,10.544,363.901,1183.01373235,10.732,365.008,5800.55,4.33,1.23434
candidate,2459167.794838,3.8821916,3.126,2670.0,5.57096,1093.46,1183.01373235,12.5728,374.763,5283.0,4.33,0.95
candidate,2459163.769215,3.6506781,2.79,20370.0,12.1655,273.621,1133.0,13.3717,472.632,5343.0,4.55,0.84
candidate,2459167.861473,1.3225635,1.683,13750.0,11.5804,825.226,1493.0,13.3201,537.182,5388.0,4.44,0.97
candidate,2459198.068832,1.6375324,1.665,11120.0,10.544,437.581,1274.0,12.575,451.486,5095.6,4.33,1.23434
candidate,2459226.435976,0.5566811,0.473,3250.0,13.2433,634.993,1398.0,13.0494,365.008,5200.0,4.33,1.7
candidate,2459199.897242,6.409365,1.707,11300.0,12.1252,64.1809,788.0,12.4762,537.943,6191.0,4.41,1.12
candidate,2459199.867115,4.3169755,4.523,4670.0,10.9284,803.246,1483.0,13.1506,911.81,5683.0,4.03,1.61
candidate,2459223.847344,3.270563,1.682,9670.0,10.544,123.655,929.0,13.3713,440.358,5219.5,4.33,1.23434
candidate,2459198.336939,5.8259928,2.442,12800.0,14.0157,71.3806,809.0,13.0583,511.659,4964.0,4.19,1.2
candidate,2459198.961454,5.6605693,1.6631704,3856.1060852,2.4070872,9.9407408,452.8709226,10.4981,22.4793,3551.0,4.83982,0.374358
candidate,2458389.679336,11.3795653,2.2350305,3147.0461739,2.2539464,3.9180021,358.827663,10.4981,22.4793,3551.0,4.83982,0.374358
candidate,2458383.733214,3.3601377,1.413245,972.9589363,1.1843718,19.9261226,538.8593825,10.4981,22.4793,3551.0,4.83982,0.374358
candidate,2459196.570296,4.6636858,2.604,11110.0,12.5117,226.009,1080.0,12.0698,404.662,5720.0,4.32,1.16
candidate,2459166.358806,2.169466,1.653,1780.0,5.81205,643.066,1402.0,12.5257,600.01,5823.0,4.2,1.35
candidate,2459196.429516,1.9422802,2.768,8140.0,15.1178,2966.77,2056.0,13.0115,1115.16,6950.0,4.21,1.6
candidate,2459193.235438,6.1735306,3.163,12950.0,11.2676,145.598,967.0,13.3652,558.907,5435.0,4.45,0.96
candidate,2459225.757456,3.6364993,3.509,16700.0,16.4306,977.668,1557.0,12.7063,718.493,6552.0,4.39,1.23
candidate,2459165.598824,18.010652,4.952,4580.0,12.5654,61.2858,779.0,12.6139,759.341,5740.0,3.91,1.85
candidate,2458461.885377,1.8851834,1.428,5450.0,17.0369,1582.72,1757.0,13.4046,780.028,5807.0,4.26,1.25
candidate,2459194.067914,4.007232,4.78,10360.0,18.1614,1275.2,1664.0,12.1569,651.897,6202.0,4.03,1.75
non-candidate,2459197.357111,2.3540172,2.36,6660.0,14.4919,954.677,1548.0,12.5398,825.004,6114.0,4.02,1.74
candidate,2459197.356321,2.3540163,2.416,10020.0,15.1575,960.683,1551.0,13.0639,892.418,6124.0,4.16,1.48
candidate,2458382.231038,2.4759733,1.0466923,386.7493472,2.8062638,1571.1556095,1605.7374991,8.4332,100.245,6025.0,4.33135,1.33012
candidate,2459196.318036,10.7448417,3.298,38070.0,11.9772,24.4016,619.0,13.3942,278.402,4701.0,4.72,0.63
candidate,2459190.700563,5.7604868,3.08,14580.0,14.0917,158.265,988.0,13.0719,470.297,5530.3,4.33,1.12
candidate,2459195.831917,3.078479,2.424,5780.0,10.544,295.7,1155.0,13.0933,598.388,5140.1,4.33,1.23434
non-candidate,2459197.326471,1.2434016,0.939,4070.0,5.66309,412.506,1255.0,12.483,246.568,4967.0,4.6,0.75
candidate,2459168.948798,2.4993895,2.99,10610.0,12.9239,945.55,1544.0,12.7979,597.873,5737.0,4.28,1.21
candidate,2459515.126171,4.9640641,4.908,4910.0,13.6926,1050.08,1585.0,13.0115,981.407,6323.0,3.95,1.95
candidate,2459194.254825,7.5420435,3.854,7720.0,9.55159,210.743,1061.0,12.3425,447.236,5949.0,4.42,1.07
non-candidate,2459197.192883,1.3164901,1.389,3580.0,11.2218,1368.05,1694.0,12.8212,1017.77,6341.0,4.04,1.78
candidate,2459196.564554,2.7625084,2.037,16160.0,10.8143,155.318,983.0,13.5252,373.363,4694.0,4.48,0.83
candidate,2459197.636818,3.3759446,3.538,1270.0,6.03548,874.29,1514.0,12.0676,588.368,5701.0,3.99,1.69
candidate,2459140.875701,3.3098458,2.2676536,19158.8321817,12.4316228,241.6655587,1005.5957745,11.7617,201.338,4953.0,4.55653,0.858619
candidate,2459199.697082,2.1473577,2.706,2300.0,10.0889,1324.12,1680.0,12.4742,850.437,5834.0,3.81,2.12
candidate,2459222.321706,4.162733,3.319,12870.0,11.1057,425.348,1265.0,12.8482,497.376,5744.2,4.33,0.97
candidate,2459199.496171,0.708548,0.845,800.0,4.66694,1121.93,1612.0,11.1522,349.979,5678.0,4.08,1.52
candidate,2459165.376298,3.3843865,3.845,10730.0,16.224,917.268,1533.0,13.3164,1001.29,5848.0,4.1,1.52
candidate,2459227.337401,1.4875055,1.874,44400.0,18.3083,550.26,1349.0,13.1901,396.678,5142.0,4.54,0.83
candidate,2459227.295588,0.1846924,0.386,1390.0,4.10645,7063.84,2554.0,12.058,341.371,5958.8,4.57,0.9
candidate,2459221.101893,3.9471513,1.993,16080.0,18.7538,406.495,1250.0,13.4034,1065.58,6351.0,4.26,1.37
candidate,2459227.430602,0.6711626,1.168,2330.0,12.243,2181.85,1904.0,13.0537,1248.07,5632.0,3.67,2.43
candidate,2459227.292219,1.7246234,1.979,11820.0,15.5191,976.638,1557.0,12.7993,635.053,5776.0,4.18,1.37
candidate,2459211.895505,4.0350169,2.108,25420.0,12.5268,126.805,934.0,12.263,245.949,5240.2,4.64,0.75
non-candidate,2458386.095087,0.7418594,1.5026958,2983.6257317,6.0238347,740.8643338,1330.6211479,11.481,106.16,4304.6,4.57,0.66174
candidate,2459212.952234,2.5082498,1.393,16210.0,20.6073,265.723,1124.0,13.4848,964.327,5909.0,4.11,1.51
candidate,2459227.225976,0.9953936,2.238,280.0,1.35321,4359.09,2263.0,9.92029,107.926,5697.0,4.6,0.84
non-candidate,2459198.602275,0.7029205,1.325,2480.0,7.51559,5873.32,2438.0,12.0195,675.112,6699.0,4.18,1.6
candidate,2459222.295382,3.7170532,3.751,7220.0,15.999,891.377,1522.0,13.2843,1080.65,6065.0,3.94,1.9
candidate,2459219.30652,4.5879078,3.464,2040.0,5.59491,474.054,1299.0,12.6746,590.401,5785.0,4.26,1.25
candidate,2459226.43746,1.9663653,1.637,29670.0,13.2267,189.304,1033.0,12.95,262.97,4687.0,4.58,0.74
non-candidate,2460235.294959,3.4771921,2.002,3250.0,11.1486,422.8,1263.0,10.9521,493.21,6539.0,3.99,1.94
candidate,2459549.813277,3.3328544,6.488,2300.0,13.2674,4271.73,2252.0,12.5745,1368.69,6272.0,3.6,2.91
candidate,2458487.027945,1.5174038,1.635,14220.0,10.544,363.901,1183.01373235,13.5607,365.008,5800.55,4.33,1.23434
candidate,2459965.536406,3.1474843,0.913,5640.0,12.7493,129.933,940.0,11.9013,188.151,5102.2,4.68,0.7
non-candidate,2459362.157241,0.5417947,1.1716379,537.9244902,2.8738733,2690.4153124,1836.8537579,10.4929,113.378,5181.0,4.54631,0.807298
candidate,2459212.462934,0.5348968,0.504,6240.0,5.99059,518.242,1329.0,13.2633,314.782,5414.2,4.88,0.58
candidate,2459210.246781,2.9884191,3.575,12890.0,16.3009,1658.79,1777.0,11.7299,518.63,6636.0,4.29,1.4
candidate,2458489.737849,1.2541679,2.294,11170.0,10.544,1264.69,1661.0,13.5917,365.008,4882.0,4.33,1.23434
non-candidate,2459212.045265,1.1472535,1.789,4090.0,17.228,16302.6,3147.0,13.3574,2363.78,9742.0,4.01,2.59
non-candidate,2459226.18852,0.787177,1.515,1350.0,10.544,1632.52,1770.0,11.4746,365.008,4899.5,4.33,1.23434
candidate,2459211.945554,1.7932884,3.299,16170.0,22.7665,5108.84,1183.01373235,11.9685,744.184,7122.0,4.33,1.74
candidate,2459209.392384,4.9208778,3.888,5680.0,12.4437,3684.32,2170.0,11.9063,1006.85,9668.0,4.39,1.65
candidate,2459212.781596,0.5209929,1.101,8570.0,18.4513,4262.45,2251.0,12.8494,995.15,6116.2,3.89,2.01
candidate,2459205.662435,4.7838171,2.035,10210.0,11.571,143.512,964.0,12.8401,539.161,5688.0,4.36,1.1
candidate,2459225.835075,6.9724832,5.156,4110.0,18.9679,5321.0,2379.0,11.3789,847.999,7616.0,4.02,2.16
candidate,2460041.96466,0.9195617,1.153,9180.0,8.69931,2224.03,1913.0,11.0611,144.866,5616.0,4.3762,0.82
candidate,2459223.251021,6.8204309,3.723,12560.0,10.544,363.901,1183.01373235,11.8145,365.008,5800.55,4.33,1.23434
candidate,2459219.086064,7.4710819,2.511,24880.0,12.8097,50.0778,741.0,13.4603,451.187,5262.0,4.57,0.81
candidate,2459248.958026,4.9197461,3.023,10380.0,12.6447,275.438,1134.0,13.1606,703.37,5822.0,4.3,1.21
candidate,2459224.244649,1.6281719,2.128,12020.0,15.3377,1369.74,1694.0,13.4585,890.799,6020.0,4.22,1.35
non-candidate,2459226.37606,0.9422588,1.46,1060.0,3.75015,1840.19,1824.0,12.2082,361.811,5544.7,4.37,1.07
candidate,2459225.436514,3.3187528,1.96,6490.0,9.77184,262.223,1121.0,13.2899,703.295,5709.0,4.28,1.21
candidate,2459224.754225,1.5622382,1.676,3230.0,18.0467,449.217,1282.0,12.2592,768.897,4801.0,4.33,3.08
candidate,2459221.43807,3.4813976,2.694,21800.0,20.9129,687.809,1426.0,12.6603,792.979,6704.0,4.3,1.4
candidate,2459222.921639,4.5302876,2.713,22840.0,12.3919,98.5409,877.0,13.1915,314.062,4693.0,4.5,0.81
non-candidate,2459963.61295,1.5971584,3.429,5070.0,17.7465,15134.3,3090.0,13.205,1269.03,6033.0,3.86,2.06
non-candidate,2459328.579795,4.8000953,1.9968681,5241.0677476,17.0718101,1043.344051,1449.5280892,10.6559,352.383,6366.0,4.16217,1.58083
non-candidate,2459963.18538,0.4405893,1.075,1850.0,6.74949,4788.57,2317.0,12.8004,684.386,5643.0,4.1,1.48
candidate,2459219.398202,6.1214801,3.861,17560.0,17.6327,725.656,1445.0,13.2221,848.053,6356.0,4.35,1.24
candidate,2459220.661425,3.9072351,3.366,14650.0,13.9055,676.473,1420.0,12.4325,522.789,6294.0,4.42,1.13
candidate,2459221.156105,3.9980153,3.793,5420.0,10.544,363.901,1183.01373235,11.996,580.471,5800.55,4.33,1.23434
candidate,2459224.72084,2.276734,1.832,3620.0,10.8605,796.052,1479.0,12.6918,901.072,6494.0,4.06,1.78
candidate,2459226.689311,1.0191022,1.228,2230.0,7.10309,2426.37,1955.0,12.1304,710.345,6865.0,4.24,1.53
candidate,2459301.36904,7.2748135,3.779,15010.0,17.4324,255.021,1183.01373235,11.7351,453.429,6792.7,4.24,1.4
candidate,2459227.247759,0.934057,1.318,620.0,13.4544,1287.68,1668.0,11.1649,877.955,5023.0,4.33,5.19
candidate,2459225.646634,1.5080197,1.032,1790.0,3.01287,89.0458,855.0,11.3676,78.4525,4008.0,4.6,0.66
candidate,2459224.451567,3.08858,2.214,17060.0,10.544,254.633,1112.0,13.4832,365.008,5381.0,4.33,1.23434
candidate,2458385.036312,3.9934418,1.9693065,5801.8957159,4.2556645,28.2359721,587.9229796,11.7315,64.6692,3748.0,4.7573,0.523113
candidate,2459541.3175,4.5697688,3.369,9780.0,17.1535,204.884,1054.0,13.2389,731.074,4976.0,4.33,1.7
non-candidate,2459548.185346,3.8454384,4.736,4590.0,13.6848,2030.9,1870.0,12.4432,985.074,6733.4,3.98,2.02
candidate,2459199.30433,2.8504334,3.768,23800.0,10.544,1787.94,1811.0,12.8662,1301.57,6293.8,4.33,1.23434
candidate,2459199.858678,0.5993364,1.024,2180.0,14.3367,3334.9,2117.0,12.993,1695.32,6232.0,3.62,2.81
candidate,2459192.072276,4.4430866,1.787,8800.0,21.1475,184.965,1027.0,12.627,547.79,4926.5,4.33,1.54
non-candidate,2459210.630135,3.7804749,3.615,22150.0,17.9247,835.088,1497.0,12.9127,334.97,5112.0,4.56,0.81
candidate,2459224.383812,3.4590552,3.001,8820.0,17.1001,1927.33,1845.0,13.3684,1444.65,7911.0,4.19,1.83
candidate,2459225.1723,1.9297769,1.701,4540.0,7.58229,310.868,1169.0,13.3742,365.008,4856.0,4.33,1.14
candidate,2459198.536737,4.4445101,2.737,16730.0,14.6892,347.285,1202.0,12.3409,386.737,6288.0,4.42,1.14
non-candidate,2459224.225903,2.9038027,3.511,5860.0,13.4427,5592.86,2409.0,12.4889,736.602,6570.0,4.21,1.51
candidate,2458381.910527,0.299039,0.7218103,5780.6664824,2.5153001,188.0727122,944.4983346,13.1672,44.397,2955.0,5.13527,0.300639
candidate,2459217.923867,4.9062135,1.671,7400.0,17.7815,251.061,1108.0,12.8475,1353.97,7169.0,4.08,1.92
candidate,2459226.428052,2.7636665,1.279,6370.0,5.94208,34.207,673.0,12.9395,365.008,3868.0,4.57,0.7
candidate,2460234.255467,4.8680805,4.7630352,39314.879177,10.544,316.1396932,1075.4482234,13.3612,851.138,5250.0,4.33,1.23434
candidate,2459547.674708,2.3044132,3.102,20290.0,22.8234,756.205,1460.0,12.373,517.422,5800.55,4.33,1.55
non-candidate,2459550.344183,0.2573207,0.629,1330.0,4.81101,5062.7,2349.0,12.428,392.4,5784.0,4.38,1.09
candidate,2459221.348058,11.5054399,2.459,15910.0,10.544,32.6456,665.0,13.099,365.008,5251.2,4.33,1.23434
